State,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases
New York,5367,2329,34,14,1,5332
Washington,1376,189,74,7,89,1213
California,1009,161,19,3,6,984
New Jersey,742,315,9,4,0,733
Illinois,422,134,4,3,2,416
Florida,417,89,9,1,0,408
Louisiana,392,112,10,3,0,382
Michigan,336,217,3,2,0,333
Massachusetts,328,72,0,0,1,327
Georgia,287,90,10,7,0,277
Texas,284,87,5,2,0,279
Colorado,278,57,4,2,0,274
Pennsylvania,207,52,1,0,0,206
Connecticut,159,63,2,1,0,157
Wisconsin,159,48,0,0,1,158
Tennessee,154,54,0,0,0,154
North Carolina,124,31,0,0,0,124
Ohio,119,30,0,0,0,119
Maryland,107,22,1,1,4,102
Virginia,99,20,2,0,1,96
Nevada,95,40,1,0,0,94
Minnesota,91,13,0,0,0,91
Oregon,88,13,3,0,0,85
South Carolina,81,21,3,0,0,78
Utah,80,17,0,0,0,80
Alabama,78,26,0,0,0,78
Arkansas,62,29,0,0,0,62
Indiana,60,21,2,0,0,58
Maine,52,9,0,0,0,52
Mississippi,51,15,1,1,0,50
Iowa,50,12,0,0,0,50
Oklahoma,46,15,1,1,1,44
Arizona,45,18,0,0,1,44
New Hampshire,44,5,0,0,0,44
Rhode Island,44,11,0,0,0,44
District of Columbia,40,9,3,3,0,37
Kentucky,37,2,2,1,2,33
Kansas,36,13,1,0,0,35
New Mexico,35,7,0,0,0,35
Missouri,31,11,1,0,0,30
Delaware,31,5,0,0,0,31
Nebraska,29,5,0,0,0,29
Idaho,23,14,0,0,0,23
Hawaii,22,6,0,0,0,22
Vermont,22,3,0,0,0,22
North Dakota,18,12,0,0,0,18
Wyoming,18,2,0,0,0,18
Montana,12,1,0,0,0,12
South Dakota,11,0,1,0,0,10
Alaska,9,3,0,0,0,9
West Virginia,2,1,0,0,0,2
