State,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases
China,80928,0,3245,0,70420,7263
Italy,41035,5322,3405,427,4440,33190
Iran,18407,1046,1284,149,5979,11144
Spain,18077,3308,831,193,1107,16139
Germany,15320,2993,44,16,115,15161
USA,13816,4557,207,57,108,13501
France,10995,1861,372,108,1295,9328
S. Korea,8565,152,91,7,1947,6527
Switzerland,4222,1107,43,10,15,4164
UK,3269,643,144,40,65,3060
Netherlands,2460,409,76,18,2,2382
Austria,2179,533,6,2,9,2164
Belgium,1795,309,21,7,165,1609
Norway,1790,199,7,1,1,1782
Sweden,1439,138,11,1,16,1412
Denmark,1151,94,6,2,1,1144
Japan,943,29,33,4,191,719
Malaysia,900,110,2,0,75,823
Canada,873,146,12,3,11,850
Portugal,786,144,4,2,4,778
Australia,756,160,7,1,46,703
Diamond Princess,712,0,7,0,527,178
Czechia,694,172,0,0,3,691
Israel,677,244,0,0,14,663
Brazil,640,111,7,3,2,631
Ireland,557,191,3,1,5,549
Greece,464,46,6,1,19,439
Qatar,460,8,0,0,10,450
Pakistan,454,147,2,0,13,439
Finland,400,41,0,0,10,390
Turkey,359,168,4,2,0,355
Poland,355,68,5,0,13,337
Singapore,345,32,0,0,124,221
Chile,342,104,0,0,0,342
Luxembourg,335,132,4,2,6,325
Iceland,330,80,0,0,5,325
Slovenia,319,33,1,0,0,318
Indonesia,308,81,25,6,15,268
Bahrain,278,22,1,0,110,167
Romania,277,17,0,0,25,252
Saudi Arabia,274,36,0,0,8,266
Thailand,272,60,1,0,42,229
Estonia,267,9,0,0,1,266
Ecuador,260,92,3,0,1,256
Egypt,256,46,7,1,42,207
Peru,234,89,1,1,1,232
Philippines,217,15,17,0,8,192
Hong Kong,208,15,4,0,98,106
Russia,199,52,1,1,8,190
India,194,25,4,1,20,170
Iraq,192,28,13,1,49,130
Lebanon,157,24,4,0,4,149
South Africa,150,34,0,0,0,150
Kuwait,148,6,0,0,18,130
San Marino,144,4,14,0,4,126
UAE,140,27,0,0,31,109
Panama,137,28,1,0,1,135
Argentina,128,31,3,1,3,122
Slovakia,124,19,0,0,0,124
Armenia,122,12,0,0,1,121
Mexico,118,25,1,1,4,113
Croatia,110,21,1,1,5,104
Taiwan,108,8,1,0,26,81
Colombia,108,15,0,0,1,107
Bulgaria,107,15,3,1,0,104
Serbia,103,14,0,0,1,102
Algeria,90,15,9,2,32,49
Costa Rica,87,18,1,0,0,86
Latvia,86,15,0,0,1,85
Vietnam,85,9,0,0,16,69
Uruguay,79,0,0,0,0,79
Andorra,74,21,0,0,1,73
Hungary,73,15,1,0,2,70
Brunei,73,5,0,0,0,73
Faeroe Islands,72,14,0,0,1,71
Jordan,69,13,0,0,1,68
Cyprus,67,9,0,0,0,67
Albania,64,5,2,0,0,62
Bosnia and Herzegovina,64,25,0,0,2,62
Morocco,63,9,2,0,2,59
Sri Lanka,60,9,0,0,3,57
Malta,53,5,0,0,2,51
Belarus,51,0,0,0,5,46
North Macedonia,50,7,0,0,1,49
Moldova,49,13,1,0,1,47
Lithuania,48,14,0,0,1,47
Oman,48,9,0,0,13,35
Palestine,47,3,0,0,0,47
Kazakhstan,44,8,3,3,0,41
Azerbaijan,44,10,1,0,7,36
Venezuela,42,6,0,0,0,42
Georgia,40,2,0,0,1,39
Tunisia,39,10,1,1,1,37
Cambodia,37,0,0,0,1,36
Senegal,36,0,0,0,2,34
Dominican Republic,34,0,2,0,0,32
Burkina Faso,33,6,1,0,0,32
Guadeloupe,33,0,0,0,0,33
New Zealand,28,8,0,0,0,28
Liechtenstein,28,0,0,0,0,28
Réunion,28,14,0,0,0,28
Ukraine,26,10,3,1,0,23
Martinique,23,0,1,0,0,22
Uzbekistan,23,5,0,0,0,23
Afghanistan,22,0,0,0,1,21
Bangladesh,18,4,1,0,3,14
Macao,17,0,0,0,10,7
Jamaica,15,0,1,0,2,12
Bolivia,15,3,0,0,0,15
French Guiana,15,0,0,0,0,15
DRC,14,7,0,0,0,14
Cameroon,13,0,0,0,0,13
Maldives,13,0,0,0,0,13
Montenegro,13,5,0,0,0,13
Paraguay,13,2,0,0,0,13
Nigeria,12,4,0,0,1,11
Guam,12,4,0,0,0,12
Honduras,12,3,0,0,0,12
Cuba,11,1,1,0,0,10
Channel Islands,11,4,0,0,0,11
Ghana,11,4,0,0,0,11
Rwanda,11,0,0,0,0,11
Monaco,10,1,0,0,0,10
Gibraltar,10,2,0,0,2,8
Guatemala,9,1,1,0,0,8
Ivory Coast,9,0,0,0,1,8
Trinidad and Tobago,9,2,0,0,0,9
Ethiopia,7,1,0,0,0,7
Kenya,7,0,0,0,0,7
Mauritius,7,4,0,0,0,7
Equatorial Guinea,6,2,0,0,0,6
French Polynesia,6,1,0,0,0,6
Mongolia,6,0,0,0,0,6
Puerto Rico,6,0,0,0,0,6
Seychelles,6,0,0,0,0,6
Tanzania,6,3,0,0,0,6
Guyana,5,1,1,0,0,4
Aruba,5,1,0,0,1,4
Barbados,5,3,0,0,0,5
Mayotte,4,1,0,0,0,4
Cayman Islands,3,2,1,0,0,2
Curaçao,3,0,1,1,0,2
Bahamas,3,2,0,0,0,3
Congo,3,2,0,0,0,3
Gabon,3,0,0,0,0,3
Kyrgyzstan,3,0,0,0,0,3
Namibia,3,1,0,0,0,3
St. Barth,3,0,0,0,0,3
Saint Martin,3,0,0,0,0,3
U.S. Virgin Islands,3,1,0,0,0,3
Sudan,2,0,1,0,0,1
Benin,2,0,0,0,0,2
Bermuda,2,0,0,0,0,2
Greenland,2,0,0,0,0,2
Liberia,2,0,0,0,0,2
Mauritania,2,0,0,0,0,2
New Caledonia,2,0,0,0,0,2
Saint Lucia,2,0,0,0,0,2
Zambia,2,0,0,0,0,2
Nepal,1,0,0,0,1,0
Antigua and Barbuda,1,0,0,0,0,1
Bhutan,1,0,0,0,0,1
CAR,1,0,0,0,0,1
Chad,1,1,0,0,0,1
Djibouti,1,0,0,0,0,1
El Salvador,1,1,0,0,0,1
Fiji,1,1,0,0,0,1
Gambia,1,0,0,0,0,1
Guinea,1,0,0,0,0,1
Vatican City,1,0,0,0,0,1
Isle of Man,1,1,0,0,0,1
Montserrat,1,0,0,0,0,1
Nicaragua,1,1,0,0,0,1
Niger,1,1,0,0,0,1
St. Vincent Grenadines,1,0,0,0,0,1
Sint Maarten,1,0,0,0,0,1
Somalia,1,0,0,0,0,1
Suriname,1,0,0,0,0,1
Eswatini,1,0,0,0,0,1
Togo,1,0,0,0,0,1
